,TotalBeds,State/UT,NumPrimaryHealthCenters_HMIS,NumCommunityHealthCenters_HMIS,NumSubDistrictHospitals_HMIS,NumDistrictHospitals_HMIS,TotalPublicHealthFacilities_HMIS,NumPublicBeds_HMIS,NumRuralHospitals_NHP18,NumRuralBeds_NHP18,NumUrbanHospitals_NHP18,NumUrbanBeds_NHP18
0,2392.0,Andaman & Nicobar Islands,27,4,,3,34,1246,27,575,3,500
1,86110.0,Andhra Pradesh,1417,198,31.0,20,1666,60799,193,6480,65,16658
2,5218.0,Arunachal Pradesh,122,62,,15,199,2320,208,2136,10,268
3,38916.0,Assam,1007,166,14.0,33,1220,19115,1176,10944,50,6198
4,33133.0,Bihar,2007,63,33.0,43,2146,17796,930,6083,103,5936
5,4592.0,Chandigarh,40,2,1.0,4,47,3756,0,0,4,778
6,25213.0,Chhattisgarh,813,166,12.0,32,1023,14354,169,5070,45,4342
7,1185.0,Dadra & Nagar Haveli,9,2,1.0,1,13,568,10,273,1,316
8,555.0,Daman & Diu,4,2,,2,8,298,5,240,0,0
9,45760.0,Delhi,534,25,9.0,47,615,20572,0,0,109,24383
10,5770.0,Goa,31,4,2.0,3,40,2666,17,1405,25,1608
11,76597.0,Gujarat,1770,385,44.0,37,2236,41129,364,11715,122,20565
12,26615.0,Haryana,500,131,24.0,28,683,13841,609,6690,59,4550
13,22732.0,Himachal Pradesh,516,79,61.0,15,671,8706,705,5665,96,6734
14,24059.0,Jammu & Kashmir,702,87,,29,818,11342,56,7234,76,4417
15,19516.0,Jharkhand,343,179,13.0,23,558,7404,519,5842,36,4942
16,132682.0,Karnataka,2547,207,147.0,42,2943,56333,2471,21072,374,49093
17,80456.0,Kerala,933,229,82.0,53,1297,39511,981,16865,299,21139
18,575.0,Lakshadweep,4,3,2.0,1,10,250,9,300,0,0
19,69744.0,Madhya Pradesh,1420,324,72.0,51,1867,38140,334,10020,117,18819
20,124995.0,Maharashtra,2638,430,101.0,70,3239,68998,273,12398,438,39048
21,4160.0,Manipur,87,17,1.0,9,114,2562,23,730,7,697
22,9421.0,Meghalaya,138,29,,13,180,4585,143,1970,14,2487
23,4508.0,Mizoram,65,10,3.0,9,87,2312,56,604,34,1393
24,4058.0,Nagaland,134,21,,11,166,1944,21,630,15,1250
25,39058.0,Odisha,1360,377,27.0,35,1799,16497,1655,6339,149,12180
26,8111.0,Puducherry,40,4,5.0,4,53,4462,3,96,11,3473
27,33105.0,Punjab,521,146,47.0,28,742,13527,510,5805,172,12128
28,88259.0,Rajasthan,2463,579,64.0,33,3139,51844,602,21088,150,10760
29,2777.0,Sikkim,25,2,1.0,4,32,1145,24,260,9,1300
30,154673.0,Tamil Nadu,1854,385,310.0,32,2581,72616,692,40179,525,37353
31,40280.0,Telangana,788,82,47.0,15,932,17358,802,7668,61,13315
32,9667.0,Tripura,114,22,12.0,9,157,4895,99,1140,56,3277
33,144172.0,Uttar Pradesh,3277,671,,174,4122,58310,4442,39104,193,37156
34,16123.0,Uttarakhand,275,69,19.0,20,383,6660,410,3284,50,5228
35,133731.0,West Bengal,1374,406,70.0,55,1905,51163,1272,19684,294,58882
