,State,NumberOfLabs,type
0,Maharashtra,39,Government Laboratory
1,Tamil Nadu,26,Collection Site
2,Telangana,19,Government Laboratory
3,Delhi,18,Government Laboratory
4,Karnataka,17,Government Laboratory
5,Uttar Pradesh,17,Government Laboratory
6,Gujarat,14,Government Laboratory
7,West Bengal,13,Government Laboratory
8,Kerala,12,Government Laboratory
9,Haryana,11,Government Laboratory
10,Madhya Pradesh,10,Government Laboratory
11,Rajasthan,9,Government Laboratory
12,Andhra Pradesh,7,Government Laboratory
13,Odisha,7,Government Laboratory
14,Assam,6,Government Laboratory
15,Bihar,6,Government Laboratory
16,Punjab,5,Government Laboratory
17,Jammu and Kashmir,4,Government Laboratory
18,Uttarakhand,3,Government Laboratory
19,Chandigarh,3,Government Laboratory
20,Jharkhand,3,Government Laboratory
21,Chhattisgarh,3,Government Laboratory
22,Himachal Pradesh,3,Government Laboratory
23,Manipur,2,Government Laboratory
24,Dadra and Nagar Haveli and Daman and Diu,1,Government Laboratory
25,Ladakh,1,Government Laboratory
26,Sikkim,1,Government Laboratory
27,Meghalaya,1,Government Laboratory
28,Andaman and Nicobar Islands,1,Government Laboratory
29,Goa,1,Government Laboratory
30,Arunachal Pradesh,1,Government Laboratory
31,Puducherry,1,Government Laboratory
32,Mizoram,1,Government Laboratory
33,Tripura,1,Government Laboratory
